,sentence,category,label,race
7684,alright faggot let stop give fuck think people lie anyways,hate_speech,0,3
21058,somebody please choke fucking retard keep yell mash potato tool pgachampionship,hate_speech,0,3
18938,dxpperjay asshole refer girl bitch doesn dick big right,hate_speech,0,3
19654,meaghanyockey savanaharanda girl guy mom dad butch dyke,hate_speech,0,1
4734,sophiero medal hate fag win kill medal thank privilege let fag live,hate_speech,0,3
22088,kid look retard try hide phone,hate_speech,0,3
14984,dessantigina tonyjrodriguez wolfvanhalen tony think rude little cunt young real rock rol,hate_speech,0,3
2853,christian esem don talk retarded faggot,hate_speech,0,1
3007,defendwallst little isis faggot usually bag over head anyway make bullet placement interesting thru scope,hate_speech,0,3
5821,davidly many fuckin fag should not allow wallet whilst under influence haha,hate_speech,0,3
23038,hoe mad cause nigga don want cha,hate_speech,0,0
13817,phillip river look want call dude nigger bad play,hate_speech,0,3
13394,psychiatry help people people immoral everyone work field pure trash,hate_speech,0,3
20436,zachpiecowiak eddie sativa fucking queer,hate_speech,0,3
3271,glitteredinpink hoe don tweet,hate_speech,0,0
22524,hate lil nicca lol redfernave hate steeler dawg,hate_speech,0,0
23316,faggot,hate_speech,0,1
8461,chick love these ugly hipster faggot prolly cause look dad life,hate_speech,0,0
23511,you re fuck ugly bitch wanna stab death play blood patrick bateman,hate_speech,0,3
17226,seanprice nigger tattoo show horrible,hate_speech,0,3
204,notoriousbm whiteponyjr ariza snake coward least isn cripple hero roach lmaoo,hate_speech,0,1
12344,lemme find bitch nigga talking shit,hate_speech,0,0
16817,opatz fuck michelle obama monkey do not belong white house,hate_speech,0,1
7272,wclemon thejoelberggren anthonycumia little fag least fuck woman kid plus work support hipster homo,hate_speech,0,3
17103,ride little fucking faggot spit food swear god tear fucking arm off http eqocianz,hate_speech,0,1
9340,fucking these hoe nigga don dumby,hate_speech,0,0
5511,alyssawien faggot,hate_speech,0,1
5274,zwaaad fag,hate_speech,0,1
18110,xdalovelytishai these niggas break these hoe,hate_speech,0,0
5088,versanche faggots drive stick,hate_speech,0,3
14880,drnrdx brandonfxrd safe pussy boy looooool http tocj wxryk,hate_speech,0,0
22413,vanessa fuckin faggot,hate_speech,0,1
16988,ripvuhsace hate take shit public place feel faggot place toilet paper toilet seat,hate_speech,0,3
2684,briana rashae rape bitch post,hate_speech,0,3
4451,quan retarded bruh lol,hate_speech,0,0
9272,fuck hoe that s exactly dese hoe doin gettin fuck you all niggas blame,hate_speech,0,0
2128,damn whitey kick new form white privilege http zlpfzsitom,hate_speech,0,3
15087,erlktweet fuck disgusting nigger movie captain phillip red carpet oscar fuc,hate_speech,0,3
4394,paulmoon yurista life justinmiculka fuckin yankees meet pussy,hate_speech,0,3
2958,dangitstiff look fucking shrek bitch,hate_speech,0,1
20362,xdsmooth way niggah flinch movie priceless bookieg,hate_speech,0,3
14089,asap ford hate nigga ask hoes nigga idfk,hate_speech,0,0
11954,level bitch fuck nigga cause red bottom afford nigga benz riding honda accord,hate_speech,0,0
3192,frankiejgrande omg gtfo white faggot,hate_speech,0,1
20225,trentlilweezy trash http tqimo,hate_speech,0,0
19962,salomanizor many faggot think address first name,hate_speech,0,1
6487,kiela alright fag http nmjj,hate_speech,0,1
7280,white thunduh bitch do not want ugly ass gtfo peyton manning lookin ass,hate_speech,0,0
7289,chrisjone whyyousoshort dis crack ass cracker,hate_speech,0,0
6486,kieffer jason fucking retare funny bitch sleep,hate_speech,0,1
7674,white boy beat run bitch,hate_speech,0,0
17552,tae rhode kim tae rhode kim patpatbush uhhh judge happen whitepower hang nigger,hate_speech,0,3
9389,gay ass nigga bitch think think,hate_speech,0,0
2163,kirogx gusta type retard person look dumb pretend agree bazinga,hate_speech,0,3
8979,gook losangele deport kill,hate_speech,0,3
5513,amarierubio chink eye,hate_speech,0,2
11573,isn anglo saxon protestant right alive none foreign filth,hate_speech,0,3
13355,niggas wear wig bitch these,hate_speech,0,0
15185,femshaveballz long run business america unless deem acceptable political group retard know democr,hate_speech,0,3
17643,thechriscate look faggot http siri,hate_speech,0,3
6520,klejdys hustlin study critical race theory people holder revenge hate whitey,hate_speech,0,3
519,let kill cracker baby wtf hear wow,hate_speech,0,3
21480,midwest white trash,hate_speech,0,3
13781,pennsylvania white trash pennsylvanian,hate_speech,0,3
2006,amp say mean dyke ron wcw http dumme,hate_speech,0,0
690,dtla trash europeans allow live,hate_speech,0,3
18891,dirtyskimask lmaooo next stname bravo son fag,hate_speech,0,0
1412,maxwell larsen live gay afraid black dick butt fucking queer,hate_speech,0,3
7707,america white trash americans,hate_speech,0,3
6687,mikecheck favorite drink white trash everywhere,hate_speech,0,3
4741,staristhefuture call gopblackchick house nigger racist fathom hypocrisy statement,hate_speech,0,3
8284,california home skater trash,hate_speech,0,1
6626,maliktender gayer faggot bed together,hate_speech,0,3
6986,sbsylvester kieffer jason hunterbuch bitch ugly hoe,hate_speech,0,0
4422,pdogg back faggot,hate_speech,0,1
14529,buckm kill beaner,hate_speech,0,1
13782,people fucking retarded lol,hate_speech,0,1
22302,twitter fag,hate_speech,0,3
8709,devin hester bitch,hate_speech,0,0
12473,little fucking gook smell shit think motherfuckin boss fuck,hate_speech,0,3
13313,niggas fucking gay try cancel say nah bros cool nahhhhhaahahahaha faggot bruh,hate_speech,0,1
5837,densonkeith these people follower follower truth themselves nigger outlook mind amp,hate_speech,0,3
24751,pussy ass nigga nigga,hate_speech,0,0
526,grandma call porch monkey think refer break bottle nigger knife,hate_speech,0,3
18360,vodkathought light beer mean faggot piss overly powered man,hate_speech,0,3
12465,literally man fam cop bad white bitch wife ain boutta break chain unless latina,hate_speech,0,0
6397,kiara curry kidding bet funny love black call eachother ignorant nigger make,hate_speech,0,1
11373,see amp nigger migrate liberty smh,hate_speech,0,0
19466,kristajaymfc mom dramatic immature fucking mental problem you re bitch cunt,hate_speech,0,1
16103,lanurse michaelbrown supporter white evil albino black baby seriously tcot klsouth http,hate_speech,0,3
6229,jayswaggkillah fag,hate_speech,0,1
6187,itsjaylaaa eat shit nigga bitch turd bag dick beetle,hate_speech,0,0
19043,ghostattic bank show engagement queer community hire tran woman,hate_speech,0,3
2521,bgally faggot teammate brandonprust hit someone late say yap yell guy def room,hate_speech,0,3
9978,ain fair haven want reason many nigger,hate_speech,0,1
6998,seansteiger faggot,hate_speech,0,1
16009,kidnapyogranny do not want heart break do not check nigga entertain hoe,hate_speech,0,0
14709,classicbray lmaoo pacdagoat legal tackle faggot rich hill seriously http gumzewrpy,hate_speech,0,3
11312,upset faggot show,hate_speech,0,0
8357,stand asian dude faggot give attitude cause forgot water fuck faggot wasn stage,hate_speech,0,1
8358,stand faggot,hate_speech,0,3
683,california full white trash,hate_speech,0,3
8362,take coon nowhere amp mean nowhere,hate_speech,0,0
19980,sblmnl crmnl woods lamar shut nigger ass lamar,hate_speech,0,0
24236,mom try buy beaner boot sale mariachi band please stop,hate_speech,0,1
775,slightlyadjuste capotoheaven all nigger wanna fuck tweet drink pineapple soda,hate_speech,0,3
3048,dolangang bean beaner,hate_speech,0,0
11129,apologize anyone call fat stupid gay nigger jew retard truly sorry trolling fag,hate_speech,0,1
16489,mitchellharri do not faggot cover mouth fkn cough sneeze immune system strong asshole,hate_speech,0,1
13611,omg win say face stupid ass hoe talkin shit imma whoop ass over dramatic teenage girl,hate_speech,0,0
15269,fucking garza wanna sleep nigger lol try hang,hate_speech,0,1
21843,these people fag,hate_speech,0,3
11666,say follow word convo over nigger nigga swag yolo fag retard,hate_speech,0,3
4812,sweetkixx lame pic ofmine due infatuation nigger hebrew fite child satan street,hate_speech,0,3
10833,upset lightskin friend cute dark skin sidekick suppose cute darkie hang wit,hate_speech,0,0
23808,everybody favorite phrase try argument lmao faggot,hate_speech,0,3
13103,nig jus ain nuttin bad den fat loud hoe tru fuckin story,hate_speech,0,0
202,nochillpaz least nigger http rgja cfoit lmfao,hate_speech,0,1
1444,nochillpaz white kids favorite activity call people nigger xbox fucking pet shoot school,hate_speech,0,3
21900,think okay take property break fuck bitch,hate_speech,0,1
8936,ebola sound hood hoe,hate_speech,0,0
1253,freddiegibbs tea bag bitch pahahaha,hate_speech,0,3
16623,nerdatcooltable realsheembacc bad bitch nigga treat shit amp stay wanna,hate_speech,0,0
4745,starkfreeordie fuckin want tired bullshit faggot ass closet racist wannabe commune railroad state cali,hate_speech,0,1
3564,jrise longlivetylerd fag,hate_speech,0,1
793,tweetlikepontiacholme pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,hate_speech,0,0
24084,real life online follow sorry folk cause look border hopper don mean bear raise,hate_speech,0,1
3316,grizzboadams ight nigga haha fucking queer clear schedule,hate_speech,0,1
5865,djfed suck dick tacos negro well,hate_speech,0,1
22831,whoever ramlogan uwi business law tho racist mudda cunt,hate_speech,0,3
1747,dnumberbefore vice fly dnumberbefore regular nig play lol i m a famous these count somethin,hate_speech,0,0
13776,peace fag remember good lux support drop lustboy pick kakao tsm,hate_speech,0,3
3190,frankiejgrande queer white thirsty bitch,hate_speech,0,1
10644,know white folk playin wit colored know place,hate_speech,0,0
14769,coolie gbe amp niggas runnin round sayin you all don eat pussy must suckin dick,hate_speech,0,0
3567,jrise shut stupid bitch,hate_speech,0,1
17104,rihannahasaid aight game over dyke ruin http,hate_speech,0,0
16606,natethaalmighty niggas talk bitch these,hate_speech,0,0
23965,https jtlzergxi leo fuck off vine fag,hate_speech,0,1
6289,joshgnf brana define ironbjk mrjstn shut faggot disease overuse twitter,hate_speech,0,3
6591,lnsightful supreme uncr fte yopapi chulo omg plz stop call idiot kindergarden fucking faggot,hate_speech,0,1
24559,work bill prevent retard voting know retard vote thing start sense,hate_speech,0,3
2657,bossmelle follow ignorant monkey,hate_speech,0,0
8156,boy yung thug fag,hate_speech,0,0
3677,joey sweet comeback fuckin herb dnt watch soccer wax bitch ass swallow red soxs kid nyc fag,hate_speech,0,1
4585,runuldorant faggot sack,hate_speech,0,1
8575,cute ass niggah http sqoptyfx,hate_speech,0,0
3014,destrothenoble nekolin purple amp pink faggot want protect police bear arm,hate_speech,0,3
6996,seannn you re fag,hate_speech,0,1
23975,find funny fag write look grindr lol that s fucking dumbass,hate_speech,0,1
11606,yer go to continue contrarian bitch die trifling,hate_speech,0,3
22160,white bitch try set racial war lol bitch impossible smarter,hate_speech,0,0
13070,manager stupid cunt,hate_speech,0,1
7548,noooo late fuckin faggot lmao,hate_speech,0,0
792,trayvonmartin refer creepy ass cracker racist thug,hate_speech,0,0
4130,misplaced momma say hood white trash,hate_speech,0,0
4389,patdollard fuckin muzzie cunt deport savage,hate_speech,0,0
796,vinitahegwood job naacp hear diversity tolerance ain cracker tcot,hate_speech,0,3
19683,milesfan realest tweet see soopsoo dyke bitch rehab hoe heal back dick,hate_speech,0,0
8813,don mind black people hate nigger,hate_speech,0,0
20959,many bitch sentence fixitjesus,hate_speech,0,3
9065,faux noise pundit don duck molester pro slavery racist homophobic teabagger darling phil robertson http zvgqxy,hate_speech,0,3
18121,yaboylilb ride bitch these homie consider yourself single nigga http dtjy rhtdf,hate_speech,0,0
4519,repulsivetool band suck bad live fag gun amp pose,hate_speech,0,3
17134,rosiezaya fucking white trash,hate_speech,0,0
2065,ugly ass niggah chuu baka anyways niggah look http lvndrdppqt,hate_speech,0,0
17943,unorthodex nah hate white people look dyke elbasedparko think end racism http vgjyhn bvt,hate_speech,0,1
3006,defendwallst whatever fuck asshole nigger look alike,hate_speech,0,1
9449,give trailer park trash transformthursday ladykimora vegasqueen vegasshowgirls http bbmhaphrd,hate_speech,0,3
22802,white trash take over charity organization,hate_speech,0,3
16018,killallsimps miley cyrus pussy taste wet dog negative ass bitch look justin bieber ove,hate_speech,0,1
3348,harveylevintmz sly want want america word nigger want,hate_speech,0,1
5829,delaney guinan faggot grow,hate_speech,0,1
8034,bill smith dds mtv odb lgbtq mma nfl aflcio bitch pick fucking hate proud shit,hate_speech,0,1
4123,millerlite don follow everything company white trash,hate_speech,0,3
11829,ion care fuck hoe,hate_speech,0,0
17488,swaaggyyv fucking chinks clash clan fuck bitch ass kamikaze faggot,hate_speech,0,0
5241,yungrajee shit ill pay premium away these ass hoe,hate_speech,0,0
17186,salamancode proof thot retarded http rhjsll,hate_speech,0,0
6691,milfmob yopapi chulo fight fuck obese niglet,hate_speech,0,1
7432,guy claim republican call span news republicans hate nigger obama https guzm,hate_speech,0,3
24523,receptionist force talk racist cunt call error call min nothing,hate_speech,0,3
4645,sarakateee faze rain wouldn proud faze family horrible ugly trailer trash fazeisgay,hate_speech,0,3
8684,deedee patrick sheen timmy dad beavis amp butthead peter griffin list mentally retarded cartoon character,hate_speech,0,3
14669,cheyennewright villasenor mean faggot lol,hate_speech,0,1
9559,get to love redneck loud stupid stubborn full schitt,hate_speech,0,0
13433,straight man frustrate unlike okcupid queer folk don ability block http hbf xza,hate_speech,0,3
9669,happy birthday coon ass nigga buckcity thatlatsonkidd,hate_speech,0,0
12906,niccas break limelight,hate_speech,0,0
2852,chris anzueto josh mackey call someone faggot say kill themselves pathetic human fucking disgrace,hate_speech,0,3
6508,kingxxlopez roberts fuckin fag smack shit outta,hate_speech,0,0
7546,be not nobody wear new westbrook jordan mexicans amp trailer park trash white girl,hate_speech,0,0
5272,zohdaa fag,hate_speech,0,1
14417,blakeanderson weston diamond sleezy jeezy justinmiculka shoot pussy i m a beat face asphalt,hate_speech,0,0
8600,dad yell bout fry chicken nigger,hate_speech,0,3
6832,phishlicia fag,hate_speech,0,1
6898,real hfact stfu ugly dyke,hate_speech,0,0
4248,natlfascist waspnse jews white race traitor sweep clean aryan race survive,hate_speech,0,3
5308,goldwhippp faggots old people people drive drunk people,hate_speech,0,3
5671,brrrrangadang nigga damn well coon,hate_speech,0,0
20829,shut faggot,hate_speech,0,1
1431,fish die dammn weed pothead annoying twitter weed pot same thing faggot,hate_speech,0,1
16323,maniac buckm rancho live ghetto ass urban area nigger nigg impersonator adopt,hate_speech,0,3
7064,sophhh marie ugly emo trash cut,hate_speech,0,1
6555,lcxancilleri faggot,hate_speech,0,1
5360,turndowndre jordan grime kushdaddycorr trob waddup true idk convo dumb nigger attention whore,hate_speech,0,1
1006,kwagiheath charlotte goon niccas gon fkkk burn bank america stadium down,hate_speech,0,0
5873,dolphrudager don kids queer,hate_speech,0,3
184,markroundtreejr lmfaoooo hate black people https rnvd nlcdr black people nigger,hate_speech,0,1
24436,smh uglyhxes tyga shoulda know blacc chyna hoe son crip walk pussy,hate_speech,0,0
19638,marylene maggietanquary she s ugly woman i ve see cross reptile crow http jsyaogup,hate_speech,0,3
9066,faux noise pundit don duck molester pro slavery racist homophobic teabagger darling phil robertson http xxehphwwwr,hate_speech,0,3
9307,fuck faggot aloha hoesss grow sbaby life go to old ass man play video game,hate_speech,0,1
2231,hoes dyke,hate_speech,0,0
5143,whosjuly faggot don side state,hate_speech,0,3
5600,bellaangeletti fag lolz,hate_speech,0,1
7038,sizzurp bootyacid ilikecat yopapi chulo back lego club faggot,hate_speech,0,3
13978,timatheracer wow faggot shinobicelsius timatheracer wow cam hater lol dat dude nice,hate_speech,0,3
21163,confuse humplayproblem think lucricus fag dagger,hate_speech,0,3
9228,fuck lame nigga lame bitch,hate_speech,0,0
7210,truuueee bitch nigga,hate_speech,0,0
10669,niggas try bitch do not shit pussy,hate_speech,0,0
16569,myfriendsrap hoe stop dress kids migos rapper fuck lil nigga want power run,hate_speech,0,0
4959,therealjrsmith people bad name disgusting piece shit person nigg,hate_speech,0,3
14561,chlldhoodruiner else hate bitch nigga http jwgmv,hate_speech,0,0
14900,datboysmokeyy shawty go understand america unless pwi school cracker brainwash smh lol,hate_speech,0,0
2500,auste answer snapchat faggot butthurt,hate_speech,0,1
9825,big ass smile eye chink,hate_speech,0,0
2602,billionairecrow neelahrelate wrong white race fuckin coon slay piece poop please die alone,hate_speech,0,3
7105,sweetakin rich white liberal good black people don obviously uncle tom,hate_speech,0,3
12858,minus retarded poor bot,hate_speech,0,3
5097,viewfromboxseat cunt,hate_speech,0,1
24455,someone clearly stinky ass beaner,hate_speech,0,0
8108,black people chiefkeef disgust laugh someone die dumb monkey ass niggas locked stupidity,hate_speech,0,0
3538,itsyour man nothin cousin touch white trash wigger wannabe bitch boy dick suck fucking gay bitch,hate_speech,0,0
1522,simplyhype kobebryant shut fuck fucking trash nigga work ring http rlenkr,hate_speech,0,1
14973,defendwallst tell feel sleepinggiant little isis faggot usually bag over head anyway,hate_speech,0,3
18038,wayne boss hate bitch dat act nigga,hate_speech,0,0
6171,infidelpamelalc blame black man blame whitey equal opportunity hater,hate_speech,0,3
7820,eli stupid hick hayseed look face giant fan kill yaselve go to http jcyzzmkcfu,hate_speech,0,3
6607,luvvida right nig,hate_speech,0,3
23525,zimmerman comin life bitch http khdz vdnsk,hate_speech,0,0
9807,hey folk nigger love jew boy deuterostome ask make death threat goat fucking people fuck,hate_speech,0,3
3470,iamshady real word must hit blunt start make shit nigger ass lol,hate_speech,0,0
4338,ole boy eezy white wash don reppe hood say bunch ignorant nig term,hate_speech,0,3
6005,garrett winker wow hoe term woman,hate_speech,0,0
5754,coffincreepxx throw faggot word smh smh smh,hate_speech,0,0
15556,iamniarich nigga scream lil bitch lol https qbndpxdv,hate_speech,0,0
7189,tori mills fuckin punk nigga bitch,hate_speech,0,0
16499,moisessp look pregnant stupid bitch lol,hate_speech,0,0
8988,slant losangele deport scum right chinatown bulldoze,hate_speech,0,3
4378,pablyandrew paul mccartney faggot,hate_speech,0,1
7319,wutkarina alright fag,hate_speech,0,1
15453,heidil fuck islam pigfucke trash troll itsjustme mzkerievan ctbauza,hate_speech,0,0
9455,god sell nuts watch lebron tear acl right watch pussy kill themselves,hate_speech,0,3
5548,asshole king draft gay ass well welcome redskin nation queer lot nigger,hate_speech,0,3
23982,hate hoe,hate_speech,0,1
12385,liberty justice thatangrynigga sandwich nigger kill,hate_speech,0,1
22044,girl retard,hate_speech,0,3
6683,midgetmadz shut dirty dirt trap limp knee ashy foot blue ball isolate hamster wheel nipple bitch,hate_speech,0,0
6093,heyyayle repeat myself white trash,hate_speech,0,0
23538,ahah fucking queer kingjame kill urself,hate_speech,0,1
20588,sir please text mexican bitch finna deal witcho childish ass,hate_speech,0,0
3911,levi page don bend way queer thank offer flatter,hate_speech,0,3
10478,hate white trash cop rape murder infant daughter son,hate_speech,0,3
20670,see ugly bitch pregnant let nigga swill fuck pussy alcohol long excuse pressed,hate_speech,0,0
663,azmonsoon lot rain bad wasn enough wash away teabagger racist white trash state tcot teaparty azfloode,hate_speech,0,3
588,people think gay marriage okay beyond sorry don want son see fag walk down street hold hand,hate_speech,0,3
12087,johnny rebel quit bitchin nigger http ucghry zge,hate_speech,0,3
20252,twerkn boba fuck say bitch kill http eigzh,hate_speech,0,1
6247,jennybaque term honkey cracker peckerwood stereotype white people fucking kid sister isn racist sweet,hate_speech,0,3
11319,literally laugh shock amazement joy everything everything pop champagne queer arrive,hate_speech,0,3
15880,juicy squeaky bitch crowd fight clearly easily influence amp weak minded amp commit suicide,hate_speech,0,3
3134,erintaylor brio sure want free pass border jumper country wrong,hate_speech,0,3
2969,darienbaby fuck dog fuck fish pussy,hate_speech,0,1
6157,illbreatheyouin happy birthday faggot,hate_speech,0,3
788,thingsiwillteachmychild play deez niggas bitch dat snake,hate_speech,0,0
1925,thejanicexxx unfollowed say rude cunt lmao,hate_speech,0,1
6693,mimiswagnote ignorant cunt,hate_speech,0,3
9206,call radical muslim nigger fit racist racist anyone hate america,hate_speech,0,3
3927,lil coon,hate_speech,0,3
12038,jason admit stuck bitch lol think well everycunt naaaaa,hate_speech,0,3
19077,harmon lauren jenna faggot,hate_speech,0,3
10115,blow bubble whistle basically retard,hate_speech,0,3
20068,stepheeezyy nigga bitch female niggah name lol wtf,hate_speech,0,0
20899,smh hate hoe,hate_speech,0,0
17582,tease fag http rdeqx,hate_speech,0,3
3478,iemonaid spell check mean fat liberal dyke feminist nazi bitch,hate_speech,0,3
2720,cbsthismorning charlierose racist norahodonnell trash racist wld intvw mittromney ask racist question itwa disrespectful,hate_speech,0,0
6104,hunterbuch kieffer jason sbsylvester fat ugly ass couldn pull ugly bitch school,hate_speech,0,0
9309,fuck ghetto ass coon,hate_speech,0,0
5417,nak status report make pit stop canada rape bitch,hate_speech,0,3
22588,fucking faggot,hate_speech,0,1
3496,imtoblame fatherless wallet carry ass video game play ass negro breh filth way afford twitterhoney,hate_speech,0,0
16306,luiesanche proudly racist dumb nigger,hate_speech,0,0
2636,bloggerboxe yea maidana greedy faggot loser atleast broner black,hate_speech,0,1
6685,mike ray congratulation officially fuck retarded,hate_speech,0,3
9011,everyone tell exact same thing win listen coon,hate_speech,0,3
22488,watch nigger lover come http cpk,hate_speech,0,3
4441,properetacet fuck mother faggot,hate_speech,0,1
5371,black jesus yea forgot talkin degenerate faggot,hate_speech,0,0
540,people aryan race stand say mongerl turn world ghetto slum,hate_speech,0,3
23506,pathetic plan fail enjoy phone fucking monkey let ass benton park wanna talk shit carve face,hate_speech,0,3
3720,junglefeverfren fuck nigger,hate_speech,0,0
9653,happy columbus billmaher like cocaine columbus fuck wrong liberal fuckin moron retard,hate_speech,0,3
4740,stanleystink shame self hate kike jews choose people,hate_speech,0,3
3400,hovaa wat say whitey prolly see shaft,hate_speech,0,0
684,california full white trash move oklahoma,hate_speech,0,3
17152,sammi boyden fucking james try tell jawga boy suck ape shit dude savanigga officialdthrash jawgaboyz,hate_speech,0,0
22108,nigga jerry room smell bad pussy,hate_speech,0,0
3002,deeznutsdoe hate feel faggot punk ass hoe,hate_speech,0,1
21784,these hoe lie nigga news monogamous niggas bitch fuck anonymous niggas,hate_speech,0,0
8909,eagle fuck amp lose kill cracker sophi crib smfh,hate_speech,0,0
14972,defendwallst wow sleepinggiant whatever fuck asshole nigger look alike,hate_speech,0,1
21129,spic half breed trash filthy native allow speak european,hate_speech,0,3
23509,retard,hate_speech,0,1
6275,joh guy love racism blame whitey everything mention bet white man put desert tortoise bundyranch,hate_speech,0,0
10294,feel sorry mexican asian niggas worse shape bitch earth,hate_speech,0,1
4315,harm moetzart duckydynamo look nigg ass nigger shit right,hate_speech,0,0
2780,carelessone styl get to dem tweet off nig,hate_speech,0,0
12688,lynch mob thug threaten zimmerman jury ggas come bitch ass jury http ytyas hatred win stop flow war,hate_speech,0,0
3805,kenny wright itsfrankybitch yopapi chulo high school do not own house fucking faggot,hate_speech,0,1
3778,keebithalal loganswarning get to love islamofascist cow try retort age typical muzzie idiocy,hate_speech,0,3
5505,allsportsbruh say waste draft pick manziel mallet tell delete account retard,hate_speech,0,3
18890,dirtyimage tronkitty cause hoe jail cause fucking hoe bloody make call head honcho,hate_speech,0,0
20961,many hoe whip think slavery,hate_speech,0,3
4665,scoutingforfifa theburntchip joelburtfifa jpizzlefifa eye witness joel faggot,hate_speech,0,1
20665,fine line kill faggot doesn change source creation stupid people overbreede,hate_speech,0,3
9684,hate dyke,hate_speech,0,3
5913,ehasselbeck politic teaching pretend son pussy son lace jock strap,hate_speech,0,0
6640,marylene sunflower shelliecorreia usa niggress think human,hate_speech,0,1
3751,klsouth miss didi evil hate whitey racist think delbert belton deserve maryforbes enemiesofdonnaj stephannanson,hate_speech,0,3
3634,jaytwofly mucka good leave stupid faggot,hate_speech,0,1
4594,rylannwilliam whooooo chelsey fuck lol juss bitch,hate_speech,0,0
2679,brenddan bullshit damn nigger,hate_speech,0,0
20266,uncledaddy weakenednachos california big retard don forget holy release amazing,hate_speech,0,3
13328,niggas deserve well bitch,hate_speech,0,0
6713,moneydriven picture smoking man god disgraceful nig sir embarrassment,hate_speech,0,3
3598,jaibrook funny faggot,hate_speech,0,1
6454,kieffer jason don fuck exactly don wtf shut retarded ass,hate_speech,0,1
17174,strocorleone thoughtsofrandy yummys world deze hoe demons yolo nigga lol hahahahaha,hate_speech,0,0
13790,people retard everyday,hate_speech,0,3
2962,danielsizelove conrad mlg cunt,hate_speech,0,3
16343,mxllxvv vivalajuicyy tragedy smh mxllxvv niggas don throw dirt name pussy,hate_speech,0,0
1680,honeysay phone charging backwards retard,hate_speech,0,0
22641,good prom faggot ass high school dance,hate_speech,0,1
4059,maxwell larsen cunt,hate_speech,0,3
19427,kevnasto fuck fat chick allow nigger house,hate_speech,0,1
8473,chris bosh bout disgrace trophy real faggot smh,hate_speech,0,0
21539,chink hunt food wwltv dog shoot arrow east http kqt stwl,hate_speech,0,3
6017,gezus maniac bam woody afc mean bro fucking faggot,hate_speech,0,1
2656,bossace sound good bro bloggerboxe yea stupid faggot leave till want ride,hate_speech,0,1
13722,oregon lose oregon ahhhahahaha faggot,hate_speech,0,3
4514,reiddh agree fellow cracker,hate_speech,0,3
9327,fucking faggot dmvfollower aren live maryland,hate_speech,0,3
4730,soldier eaodgrn teabagger scum want threaten people penis extender danger country,hate_speech,0,3
17757,theprinceofnj smco be not bout murder game pussy nigga shut gang,hate_speech,0,0
22813,take mid good midlaner fuckin solo fag,hate_speech,0,3
6453,kieffer jason let say clearly retarded ass don understand,hate_speech,0,0
24576,guy big faggot omfg,hate_speech,0,3
23451,little bitch fuckingcashbro thotcho team blow super bowl,hate_speech,0,3
18235,kkz faggit bitch try say hoe bearface bitch yusa fag,hate_speech,0,0
9764,hear bitch gtta thang boss niggas,hate_speech,0,0
5058,tweetfrmthesole entire pat bandwagon faggot,hate_speech,0,3
15550,hype african color car push niggerous whip,hate_speech,0,0
10477,hate ghetto trash special school across street building grow criminal,hate_speech,0,3
15642,thirst nigger shit coffee,hate_speech,0,0
5000,tielermlg psvch halfasse come rescue retard lick dirty skidmark internet guy fucktard,hate_speech,0,3
